feat_key,cl_size,min_s,clusters_train,clusters_test,clusters_dev,outliers_train,outliers_test,outliers_dev,ARI_train,ARI_test,ARI_dev,NMI_train,NMI_test,NMI_dev,prec_train,prec_dev,prec_test,recall_train,recall_dev,recall_test,f1_train,f1_dev,f1_test
feats_sp_transVgg16big_24h_nsampling_rnd_win64_neg_samples4_lcontexts2_rcontexts2_flts40_embsize100_fc_size512_unit_norm_var_dropout_keep0.9_l2_reg0.0005_featinput_unnormalized.feats.ark_dot_combine_tied_embs_5_8,-,5,8,1488,15,11,11357,36,34,0.8412,0.9412,0.9321,0.9486,0.9517,0.9331,0.9303,0.9920,0.9966,0.7679,0.8952,0.9031,0.8413,0.9411,0.9476
feats_sp_transVgg16big_24h_nsampling_rnd_win64_neg_samples4_lcontexts2_rcontexts2_flts40_embsize100_fc_size512_unit_norm_var_dropout_keep0.9_l2_reg0.0005_featinput_unnormalized.feats.ark_dot_combine_tied_embs_8_3,-,8,3,1574,15,11,7930,22,26,0.8732,0.9534,0.9374,0.9584,0.9644,0.9393,0.9573,0.9949,0.9967,0.8028,0.9011,0.9232,0.8733,0.9457,0.9585
feats_sp_transVgg16big_24h_nsampling_rnd_win64_neg_samples4_lcontexts2_rcontexts2_flts40_embsize100_fc_size512_unit_norm_var_dropout_keep0.9_l2_reg0.0005_featinput_unnormalized.feats.ark_dot_combine_tied_embs_8_5,-,8,5,1513,15,11,9526,31,29,0.8637,0.9452,0.9341,0.9546,0.9559,0.9354,0.9530,0.9905,0.9967,0.7899,0.8996,0.9096,0.8638,0.9428,0.9511
feats_sp_transVgg16big_24h_nsampling_rnd_win64_neg_samples4_lcontexts2_rcontexts2_flts40_embsize100_fc_size512_unit_norm_var_dropout_keep0.9_l2_reg0.0005_featinput_unnormalized.feats.ark_dot_combine_tied_embs_8_8,-,8,8,1457,15,11,11304,36,34,0.8419,0.9412,0.9321,0.9488,0.9517,0.9331,0.9284,0.9920,0.9966,0.7704,0.8952,0.9031,0.8420,0.9411,0.9476
feats_sp_transVgg16big_nsampling_rnd_win32_neg_samples4_lcontexts2_rcontexts2_flts40_embsize100_fc_size512_unit_norm_var_dropout_keep0.9_l2_reg0.0005_featinput_unnormalized.feats.ark_dot_combine_tied_embs_3_3,-,3,3,-,17,13,-,16,24,-,0.9500,0.9419,-,0.9608,0.9513,-,0.9994,0.9965,-,0.9045,0.9178,-,0.9496,0.9555
feats_sp_transVgg16big_nsampling_rnd_win32_neg_samples4_lcontexts2_rcontexts2_flts40_embsize100_fc_size512_unit_norm_var_dropout_keep0.9_l2_reg0.0005_featinput_unnormalized.feats.ark_dot_combine_tied_embs_3_5,-,3,5,-,16,11,-,23,25,-,0.9442,0.9367,-,0.9547,0.9407,-,0.9949,0.9964,-,0.9001,0.9082,-,0.9451,0.9503
feats_sp_transVgg16big_nsampling_rnd_win32_neg_samples4_lcontexts2_rcontexts2_flts40_embsize100_fc_size512_unit_norm_var_dropout_keep0.9_l2_reg0.0005_featinput_unnormalized.feats.ark_dot_combine_tied_embs_3_8,-,3,8,-,15,11,-,40,32,-,0.9372,0.9191,-,0.9475,0.9239,-,0.9837,0.9966,-,0.8814,0.8967,-,0.9298,0.9440
feats_sp_transVgg16big_nsampling_rnd_win32_neg_samples4_lcontexts2_rcontexts2_flts40_embsize100_fc_size512_unit_norm_var_dropout_keep0.9_l2_reg0.0005_featinput_unnormalized.feats.ark_dot_combine_tied_embs_5_3,-,5,3,-,16,11,-,14,21,-,0.9498,0.9388,-,0.9591,0.9431,-,0.9932,0.9961,-,0.9048,0.9178,-,0.9470,0.9553
feats_sp_transVgg16big_nsampling_rnd_win32_neg_samples4_lcontexts2_rcontexts2_flts40_embsize100_fc_size512_unit_norm_var_dropout_keep0.9_l2_reg0.0005_featinput_unnormalized.feats.ark_dot_combine_tied_embs_5_5,-,5,5,-,16,11,-,23,25,-,0.9442,0.9367,-,0.9547,0.9407,-,0.9949,0.9964,-,0.9001,0.9082,-,0.9451,0.9503
feats_sp_transVgg16big_nsampling_rnd_win32_neg_samples4_lcontexts2_rcontexts2_flts40_embsize100_fc_size512_unit_norm_var_dropout_keep0.9_l2_reg0.0005_featinput_unnormalized.feats.ark_dot_combine_tied_embs_5_8,-,5,8,-,15,11,-,40,32,-,0.9372,0.9191,-,0.9475,0.9239,-,0.9837,0.9966,-,0.8814,0.8967,-,0.9298,0.9440
